PROCEDIMENTO,"RN
(alteração)",VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO,pagina
ACONSELHAMENTO GENÉTICO,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE Procedimento de Alta ComplexidadeIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,3
ATENDIMENTO/ACOMPANHAMENTO EM HOSPITAL-DIA PSIQUIÁTRICO (COM DIRETRIZ DE UTILIZAÇÃO),,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,109,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE Procedimento de Alta ComplexidadeIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,3
"ATENDIMENTO INTEGRAL AO RECÉM-NASCIDO (SALA DE PARTO, BERÇÁRIO E UTI)",,,,,Seg. Hospitalar Com Obstetrícia,,Plano Referência,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE Procedimento de Alta ComplexidadeIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,3
ATENDIMENTO MÉDICO DO INTENSIVISTA EM UTI GERAL OU PEDIÁTRICA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE Procedimento de Alta ComplexidadeIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,3
ATENDIMENTO PEDIÁTRICO A GESTANTES (3º TRIMESTRE),,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,,Plano Referência,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE Procedimento de Alta ComplexidadeIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,3
ATIVIDADE EDUCACIONAL PARA PLANEJAMENTO FAMILIAR,,,,Seg. Ambulatorial,,,Plano Referência,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE Procedimento de Alta ComplexidadeIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,3
ATIVIDADE EDUCATIVA EM SAÚDE BUCAL,,,Seg. Odontológica,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE Procedimento de Alta ComplexidadeIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,3
"ATIVIDADE EDUCATIVA EM Seg. OdontológicaONTOLOGIA PARA PAIS E/OU CUIDADORES DE Procedimento de Alta ComplexidadeIENTES COM NECESSIDADES
ESPECIAIS",,,Seg. Odontológica,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE Procedimento de Alta ComplexidadeIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,3
CONDICIONAMENTO EM Seg. OdontológicaONTOLOGIA (COM DIRETRIZ DE UTILIZAÇÃO),,,Seg. Odontológica,,,,,,86,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE Procedimento de Alta ComplexidadeIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,3
ESTABILIZAÇÃO DE Procedimento de Alta ComplexidadeIENTE POR MEIO DE CONTENÇÃO FÍSICA E/OU MECÂNICA,,,Seg. Odontológica,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE Procedimento de Alta ComplexidadeIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,3
CONSULTA DE ACONSELHAMENTO PARA PLANEJAMENTO FAMILIAR,,,,Seg. Ambulatorial,,,Plano Referência,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE Procedimento de Alta ComplexidadeIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,3
CONSULTA COM ENFERMEIRO OBSTETRA OU OBSTETRIZ (COM DIRETRIZ DE UTILIZAÇÃO),,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,,Plano Referência,,135,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE Procedimento de Alta ComplexidadeIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,3
CONSULTA/AVALIAÇÃO COM FISIOTERAPEUTA,541/2022,01/08/2022,,Seg. Ambulatorial,,,Plano Referência,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE Procedimento de Alta ComplexidadeIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,3
CONSULTA MÉDICA,,,,Seg. Ambulatorial,,,Plano Referência,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE Procedimento de Alta ComplexidadeIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,3
CONSULTA Seg. OdontológicaONTOLÓGICA,,,Seg. Odontológica,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE Procedimento de Alta ComplexidadeIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,3
CONSULTA Seg. OdontológicaONTOLÓGICA INICIAL,,,Seg. Odontológica,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE Procedimento de Alta ComplexidadeIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,3
CONSULTA Seg. OdontológicaONTOLÓGICA DE URGÊNCIA,,,Seg. Odontológica,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE Procedimento de Alta ComplexidadeIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,3
CONSULTA Seg. OdontológicaONTOLÓGICA PARA AVALIAÇÃO TÉCNICA DE AUDITORIA,,,Seg. Odontológica,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE Procedimento de Alta ComplexidadeIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,3
CONSULTA/AVALIAÇÃO COM PSICÓLOGO,541/2022,01/08/2022,,Seg. Ambulatorial,,,Plano Referência,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE Procedimento de Alta ComplexidadeIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,3
SESSÃO COM PSICÓLOGO,541/2022,01/08/2022,,Seg. Ambulatorial,,,Plano Referência,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE Procedimento de Alta ComplexidadeIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,4
CONSULTA/AVALIAÇÃO COM FONOAUDIÓLOGO,541/2022,01/08/2022,,Seg. Ambulatorial,,,Plano Referência,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE Procedimento de Alta ComplexidadeIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,4
SESSÃO COM FONOAUDIÓLOGO,541/2022,01/08/2022,,Seg. Ambulatorial,,,Plano Referência,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE Procedimento de Alta ComplexidadeIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,4
